player,team,type,xT_added,x,y,end_x,end_y
Paulo Bruno Exequiel Dybala,Juventus,Pass,-0.004268819999999998,61.0,41.0,42.0,45.0
Leonardo Bonucci,Juventus,Pass,0.011388749999999998,43.0,45.0,87.0,12.0
Alex Sandro Lobo Silva,Juventus,Pass,-0.0037706500000000004,86.0,1.0,77.0,9.0
Sami Khedira,Juventus,Pass,0.01011248,78.0,9.0,92.0,8.0
Daniel Carvajal Ramos,Real Madrid,Pass,0.0013280500000000008,29.0,73.0,32.0,74.0
Luka Modrić,Real Madrid,Pass,0.0027068500000000002,36.0,75.0,57.0,75.0
Giorgio Chiellini,Juventus,Pass,0.006485330000000001,64.0,6.0,84.0,7.0
Mario Mandžukić,Juventus,Pass,0.0027939199999999983,84.0,7.0,88.0,12.0
Gonzalo Gerardo Higuaín,Juventus,Pass,-0.004700530000000001,92.0,25.0,86.0,34.0
Miralem Pjanić,Juventus,Pass,0.0002709099999999992,86.0,36.0,87.0,52.0
Daniel Alves da Silva,Juventus,Pass,0.0,84.0,52.0,88.0,52.0
Daniel Alves da Silva,Juventus,Pass,-0.0030754200000000023,75.0,45.0,65.0,35.0
Giorgio Chiellini,Juventus,Pass,0.0005553600000000013,65.0,35.0,72.0,9.0
Alex Sandro Lobo Silva,Juventus,Pass,0.0,83.0,9.0,86.0,5.0
Mario Mandžukić,Juventus,Pass,-0.0018699699999999986,83.0,6.0,71.0,27.0
Miralem Pjanić,Juventus,Pass,-0.0019006800000000018,71.0,27.0,72.0,9.0
Sami Khedira,Juventus,Pass,0.0037706500000000004,72.0,9.0,87.0,4.0
Mario Mandžukić,Juventus,Pass,0.010063879999999997,106.0,4.0,106.0,27.0
Toni Kroos,Real Madrid,Pass,-0.0003536300000000006,15.0,54.0,21.0,62.0
Raphaël Varane,Real Madrid,Pass,0.0021341499999999996,27.0,56.0,41.0,63.0
Luka Modrić,Real Madrid,Pass,0.022966069999999998,43.0,64.0,92.0,40.0
Leonardo Bonucci,Juventus,Pass,0.0011582700000000012,27.0,40.0,36.0,39.0
Sami Khedira,Juventus,Pass,-0.0002191399999999996,36.0,39.0,36.0,21.0
Giorgio Chiellini,Juventus,Pass,0.0006678699999999992,36.0,15.0,44.0,7.0
Alex Sandro Lobo Silva,Juventus,Pass,0.0008844200000000003,43.0,5.0,47.0,17.0
Sami Khedira,Juventus,Pass,0.0016982100000000003,47.0,17.0,58.0,10.0
Mario Mandžukić,Juventus,Pass,0.0,58.0,10.0,53.0,11.0
Sami Khedira,Juventus,Pass,0.0022727300000000006,54.0,11.0,61.0,10.0
Raphaël Varane,Real Madrid,Pass,0.0025826300000000007,48.0,70.0,57.0,65.0
Toni Kroos,Real Madrid,Pass,0.0008905599999999986,57.0,65.0,61.0,75.0
Luka Modrić,Real Madrid,Pass,-0.002252519999999999,60.0,77.0,54.0,77.0
Daniel Carvajal Ramos,Real Madrid,Pass,-0.0011596799999999997,54.0,77.0,35.0,37.0
Sergio Ramos García,Real Madrid,Pass,-6.099000000000035e-05,36.0,36.0,48.0,8.0
Marcelo Vieira da Silva Júnior,Real Madrid,Pass,0.0043726999999999985,56.0,7.0,64.0,26.0
Francisco Román Alarcón Suárez,Real Madrid,Pass,-0.001382170000000002,67.0,14.0,61.0,3.0
Marcelo Vieira da Silva Júnior,Real Madrid,Pass,0.0027146800000000006,61.0,3.0,71.0,3.0
Daniel Alves da Silva,Juventus,Pass,0.004959369999999999,38.0,75.0,65.0,77.0
